"Day","Cash On Hand"
0,3500000
1,3487400
2,3155160
3,2545960
4,1556055
5,984031
6,439934
7,408998
8,101940
9,202325
10,275176
11,125647
12,62737
13,225611
14,337963
15,571289
16,120557
17,103255
18,76691
19,491606
20,512349
21,336093
22,381393
23,408063
24,376002
25,418660
26,419978
27,47436
28,1065526
29,97736
30,163932
31,109095
32,404619
33,915911
34,1566834
35,1136484
36,1155639
37,684927
38,920568
39,1949453
40,1912570
41,1949051
42,2685689
43,2661936
44,2668990
45,2636833
46,2465931
47,2367660
48,2381242
49,2480520
50,2333421
51,2338126
52,2028366
53,321180
54,353308
55,674229
56,1288570
57,1318931
58,1580200
59,1010808
60,1001152
61,513108
62,468181
63,462451
64,549061
65,570757
66,655160
67,672652
68,624541
69,1576950
70,1668025
71,1663541
72,1668496
73,1558189
74,2103284
75,2176717
76,2156036
77,1688585
78,1812946
79,1777322
80,2331886
81,2485524
82,3785207
83,4102445
84,4783718
85,5268815
86,4512240
87,4773922
88,4773437
89,4789884
90,5114816
