,"Day : 1 - 2","Day : 2 - 3","Day : 3 - 4"
Revenue,0,"46,390","77,685"
"Retail View",0,"46,390","77,685"
"Wholesales (B2B)",0,0,0
"Sales E Commerce",0,0,0
Services,0,0,0
"Research and Development",0,0,0
COGS,0,"27,340","39,390"
"Trading Profit",0,"19,050","38,295"
"Operating Expense View","332,240","50,923","50,923"
"Other Income (Loss)",0,0,0
"Net Profit","(332,240)","(31,873)","(12,628)"
,"Day : 4 - 5","Day : 5 - 6","Day : 6 - 7"
Revenue,"112,366","110,573","107,919"
"Retail View","112,366","110,573","107,919"
"Wholesales (B2B)",0,0,0
"Sales E Commerce",0,0,0
Services,0,0,0
"Research and Development",0,0,0
COGS,"60,183","57,685","60,524"
"Trading Profit","52,183","52,888","47,395"
"Operating Expense View","50,923","52,203","57,613"
"Other Income (Loss)",0,0,0
"Net Profit","1,260",685,"(10,218)"
,"Day : 7 - 8","Day : 8 - 9","Day : 9 - 10"
Revenue,"109,832","137,386","874,243"
"Retail View","109,832","112,121","766,868"
"Wholesales (B2B)",0,0,0
"Sales E Commerce",0,"25,265","43,875"
Services,0,0,"63,500"
"Research and Development",0,0,0
COGS,"66,486","75,334","376,055"
"Trading Profit","43,346","62,052","498,188"
"Operating Expense View","43,890","43,667","42,898"
"Other Income (Loss)",0,0,0
"Net Profit",(544),"18,385","455,290"
,"Day : 10 - 11","Day : 11 - 12","Day : 12 - 13"
Revenue,"782,813","538,330","467,350"
"Retail View","760,561","488,030","441,590"
"Wholesales (B2B)",0,0,0
"Sales E Commerce","22,252",0,"25,760"
Services,0,"50,300",0
"Research and Development",0,0,0
COGS,"364,886","193,346","227,211"
"Trading Profit","417,927","344,984","240,139"
"Operating Expense View","118,686","58,514","44,540"
"Other Income (Loss)",0,0,0
"Net Profit","299,241","286,470","195,599"
,"Day : 13 - 14","Day : 14 - 15","Day : 15 - 16"
Revenue,"314,776","1,322,262","1,376,135"
"Retail View","314,776","74,982","75,775"
"Wholesales (B2B)",0,"1,125,180","1,300,360"
"Sales E Commerce",0,0,0
Services,0,"122,100",0
"Research and Development",0,0,0
COGS,"128,427","705,083","1,050,034"
"Trading Profit","186,349","617,179","326,101"
"Operating Expense View","94,320","63,436","84,869"
"Other Income (Loss)",0,0,0
"Net Profit","92,029","553,743","241,232"
,"Day : 16 - 17","Day : 17 - 18","Day : 18 - 19"
Revenue,"73,997","89,235","419,226"
"Retail View","73,997","74,841","92,316"
"Wholesales (B2B)",0,0,"326,910"
"Sales E Commerce",0,"14,394",0
Services,0,0,0
"Research and Development",0,0,0
COGS,"48,160","50,654","346,944"
"Trading Profit","25,837","38,581","72,282"
"Operating Expense View","80,199","122,465","150,240"
"Other Income (Loss)",0,0,0
