Day ,Items ,Note ,Amount 
90,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,300
90,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,300
90,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,300
90,Marketing Expense,Cash Payment - Marketing - New York - Sparkling Wine,300
90,Marketing Expense,Cash Payment - Marketing - New York - Red Wine,300
90,Marketing Expense,Cash Payment - Marketing - New York - White Wine,300
90,Salary Expense,Cash Payment - Salary Expense,24496
90,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 14896,13
90,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 15064,21
90,Rental Expense,"Cash Payment - Rental - Washington, D.C.",3600
90,Rental Expense,Cash Payment - Rental - Chicago,2400
90,Rental Expense,Cash Payment - Rental - Los Angeles,1620
90,Rental Expense,Cash Payment - Rental - New York,4020
90,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Detroit,378
90,Rental Expense,Cash Payment - Rental - Detroit,1000
89,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,300
89,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,300
89,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,300
89,Marketing Expense,Cash Payment - Marketing - New York - Sparkling Wine,300
89,Marketing Expense,Cash Payment - Marketing - New York - Red Wine,300
89,Marketing Expense,Cash Payment - Marketing - New York - White Wine,300
89,Salary Expense,Cash Payment - Salary Expense,24917
89,Rental Expense,"Cash Payment - Rental - Washington, D.C.",3600
89,Rental Expense,Cash Payment - Rental - Chicago,2400
89,Rental Expense,Cash Payment - Rental - Los Angeles,1620
89,Rental Expense,Cash Payment - Rental - New York,4020
89,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Detroit,405
89,Rental Expense,Cash Payment - Rental - Detroit,1000
88,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,300
88,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,300
88,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,300
88,Marketing Expense,Cash Payment - Marketing - New York - Sparkling Wine,300
88,Marketing Expense,Cash Payment - Marketing - New York - Red Wine,300
88,Marketing Expense,Cash Payment - Marketing - New York - White Wine,300
88,Salary Expense,Cash Payment - Salary Expense,25234
88,Rental Expense,"Cash Payment - Rental - Washington, D.C.",3600
88,Rental Expense,Cash Payment - Rental - Chicago,2400
88,Rental Expense,Cash Payment - Rental - Los Angeles,1620
88,Rental Expense,Cash Payment - Rental - New York,4020
88,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Detroit,540
88,Rental Expense,Cash Payment - Rental - Detroit,1000
87,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,300
87,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,300
87,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,300
87,Marketing Expense,Cash Payment - Marketing - New York - Sparkling Wine,300
87,Marketing Expense,Cash Payment - Marketing - New York - Red Wine,300
87,Marketing Expense,Cash Payment - Marketing - New York - White Wine,300
87,Salary Expense,Cash Payment - Salary Expense,25214
87,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 14891,13
87,Rental Expense,"Cash Payment - Rental - Washington, D.C.",3600
87,Rental Expense,Cash Payment - Rental - Chicago,2400
87,Rental Expense,Cash Payment - Rental - Los Angeles,1620
87,Rental Expense,Cash Payment - Rental - New York,4020
87,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Detroit,648
87,Rental Expense,Cash Payment - Rental - Detroit,1000
86,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
86,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,300
86,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,300
86,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,300
86,Marketing Expense,Cash Payment - Marketing - New York - Sparkling Wine,300
86,Marketing Expense,Cash Payment - Marketing - New York - Red Wine,300
86,Marketing Expense,Cash Payment - Marketing - New York - White Wine,300
86,Salary Expense,Cash Payment - Salary Expense,25175
86,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 15047,22
