[HIGHEST OVERHEAD] SALARY EXPENSE: 31.43%
[CASH DEFICIT] DAY: 1, AMOUNT: USD12600
[CASH DEFICIT] DAY: 2, AMOUNT: USD332240
[CASH DEFICIT] DAY: 3, AMOUNT: USD609200
[CASH DEFICIT] DAY: 4, AMOUNT: USD989905
[CASH DEFICIT] DAY: 5, AMOUNT: USD572024
[CASH DEFICIT] DAY: 6, AMOUNT: USD544097
[CASH DEFICIT] DAY: 7, AMOUNT: USD30936
[CASH DEFICIT] DAY: 8, AMOUNT: USD307058
[CASH DEFICIT] DAY: 11, AMOUNT: USD149529
[CASH DEFICIT] DAY: 12, AMOUNT: USD62910
[CASH DEFICIT] DAY: 16, AMOUNT: USD450732
[CASH DEFICIT] DAY: 17, AMOUNT: USD17302
[CASH DEFICIT] DAY: 18, AMOUNT: USD26564
[CASH DEFICIT] DAY: 21, AMOUNT: USD176256
[CASH DEFICIT] DAY: 24, AMOUNT: USD32061
[CASH DEFICIT] DAY: 27, AMOUNT: USD372542
[CASH DEFICIT] DAY: 29, AMOUNT: USD967790
[CASH DEFICIT] DAY: 31, AMOUNT: USD54837
[CASH DEFICIT] DAY: 35, AMOUNT: USD430350
[CASH DEFICIT] DAY: 37, AMOUNT: USD470712
[CASH DEFICIT] DAY: 40, AMOUNT: USD36883
[CASH DEFICIT] DAY: 43, AMOUNT: USD23753
[CASH DEFICIT] DAY: 45, AMOUNT: USD32157
[CASH DEFICIT] DAY: 46, AMOUNT: USD170902
[CASH DEFICIT] DAY: 47, AMOUNT: USD98271
[CASH DEFICIT] DAY: 50, AMOUNT: USD147099
[CASH DEFICIT] DAY: 52, AMOUNT: USD309760
[CASH DEFICIT] DAY: 53, AMOUNT: USD1707186
[CASH DEFICIT] DAY: 59, AMOUNT: USD569392
[CASH DEFICIT] DAY: 60, AMOUNT: USD9656
[CASH DEFICIT] DAY: 61, AMOUNT: USD488044
[CASH DEFICIT] DAY: 62, AMOUNT: USD44927
[CASH DEFICIT] DAY: 63, AMOUNT: USD5730
[CASH DEFICIT] DAY: 68, AMOUNT: USD48111
[CASH DEFICIT] DAY: 71, AMOUNT: USD4484
[CASH DEFICIT] DAY: 73, AMOUNT: USD110307
[CASH DEFICIT] DAY: 76, AMOUNT: USD20681
[CASH DEFICIT] DAY: 77, AMOUNT: USD467451
[CASH DEFICIT] DAY: 79, AMOUNT: USD35624
[CASH DEFICIT] DAY: 86, AMOUNT: USD756575
[CASH DEFICIT] DAY: 88, AMOUNT: USD485
[PROFIT DEFICIT] Day: 3, Amount: USD46390
[PROFIT DEFICIT] Day: 4, Amount: USD77685
[PROFIT DEFICIT] Day: 5, Amount: USD112366
[PROFIT DEFICIT] Day: 6, Amount: USD110573
[PROFIT DEFICIT] Day: 7, Amount: USD107919
[PROFIT DEFICIT] Day: 8, Amount: USD109832
[PROFIT DEFICIT] Day: 9, Amount: USD137386
[PROFIT DEFICIT] Day: 10, Amount: USD874243
[PROFIT DEFICIT] Day: 11, Amount: USD782813
[PROFIT DEFICIT] Day: 12, Amount: USD538330
[PROFIT DEFICIT] Day: 13, Amount: USD467350
[PROFIT DEFICIT] Day: 14, Amount: USD314776
[PROFIT DEFICIT] Day: 15, Amount: USD1322262
[PROFIT DEFICIT] Day: 16, Amount: USD1376135
[PROFIT DEFICIT] Day: 17, Amount: USD73997
[PROFIT DEFICIT] Day: 18, Amount: USD89235
[PROFIT DEFICIT] Day: 19, Amount: USD419226
[PROFIT DEFICIT] Day: 20, Amount: USD89284
[PROFIT DEFICIT] Day: 21, Amount: USD536704
[PROFIT DEFICIT] Day: 22, Amount: USD107578
[PROFIT DEFICIT] Day: 23, Amount: USD88367
[PROFIT DEFICIT] Day: 24, Amount: USD89525
[PROFIT DEFICIT] Day: 25, Amount: USD91155
[PROFIT DEFICIT] Day: 26, Amount: USD84265
[PROFIT DEFICIT] Day: 27, Amount: USD1776617
[PROFIT DEFICIT] Day: 28, Amount: USD1549027
[PROFIT DEFICIT] Day: 29, Amount: USD508248
[PROFIT DEFICIT] Day: 30, Amount: USD98100
[PROFIT DEFICIT] Day: 31, Amount: USD358537
[PROFIT DEFICIT] Day: 32, Amount: USD612720
[PROFIT DEFICIT] Day: 33, Amount: USD546945
[PROFIT DEFICIT] Day: 34, Amount: USD691295
[PROFIT DEFICIT] Day: 35, Amount: USD430578
[PROFIT DEFICIT] Day: 36, Amount: USD58130
[PROFIT DEFICIT] Day: 37, Amount: USD291934
[PROFIT DEFICIT] Day: 38, Amount: USD511274
[PROFIT DEFICIT] Day: 39, Amount: USD1176558
[PROFIT DEFICIT] Day: 40, Amount: USD93551
[PROFIT DEFICIT] Day: 41, Amount: USD107281
[PROFIT DEFICIT] Day: 42, Amount: USD792360
[PROFIT DEFICIT] Day: 43, Amount: USD90708
[PROFIT DEFICIT] Day: 44, Amount: USD85155
[PROFIT DEFICIT] Day: 45, Amount: USD95463
[PROFIT DEFICIT] Day: 46, Amount: USD100518
[PROFIT DEFICIT] Day: 47, Amount: USD80821
[PROFIT DEFICIT] Day: 48, Amount: USD51703
[PROFIT DEFICIT] Day: 49, Amount: USD137453
[PROFIT DEFICIT] Day: 50, Amount: USD84545
[PROFIT DEFICIT] Day: 51, Amount: USD43094
[PROFIT DEFICIT] Day: 52, Amount: USD48631
[PROFIT DEFICIT] Day: 53, Amount: USD49057
[PROFIT DEFICIT] Day: 54, Amount: USD70856
[PROFIT DEFICIT] Day: 55, Amount: USD393973
[PROFIT DEFICIT] Day: 56, Amount: USD672273
[PROFIT DEFICIT] Day: 57, Amount: USD88173
[PROFIT DEFICIT] Day: 58, Amount: USD319157
[PROFIT DEFICIT] Day: 59, Amount: USD46558
[PROFIT DEFICIT] Day: 60, Amount: USD112384
[PROFIT DEFICIT] Day: 61, Amount: USD60647
[PROFIT DEFICIT] Day: 62, Amount: USD43012
[PROFIT DEFICIT] Day: 63, Amount: USD43796
[PROFIT DEFICIT] Day: 64, Amount: USD126153
[PROFIT DEFICIT] Day: 65, Amount: USD66154
[PROFIT DEFICIT] Day: 66, Amount: USD123363
[PROFIT DEFICIT] Day: 67, Amount: USD69797
[PROFIT DEFICIT] Day: 68, Amount: USD177227
[PROFIT DEFICIT] Day: 69, Amount: USD1033266
[PROFIT DEFICIT] Day: 70, Amount: USD129941
[PROFIT DEFICIT] Day: 71, Amount: USD67199
[PROFIT DEFICIT] Day: 72, Amount: USD59448
[PROFIT DEFICIT] Day: 73, Amount: USD52283
[PROFIT DEFICIT] Day: 74, Amount: USD608656
[PROFIT DEFICIT] Day: 75, Amount: USD113059
[PROFIT DEFICIT] Day: 76, Amount: USD67596
[PROFIT DEFICIT] Day: 77, Amount: USD66469
[PROFIT DEFICIT] Day: 78, Amount: USD229052
[PROFIT DEFICIT] Day: 79, Amount: USD248537
[PROFIT DEFICIT] Day: 80, Amount: USD630454
[PROFIT DEFICIT] Day: 81, Amount: USD214682
[PROFIT DEFICIT] Day: 82, Amount: USD1457691
[PROFIT DEFICIT] Day: 83, Amount: USD378236
[PROFIT DEFICIT] Day: 84, Amount: USD772201
[PROFIT DEFICIT] Day: 85, Amount: USD555924
[PROFIT DEFICIT] Day: 86, Amount: USD57326
[PROFIT DEFICIT] Day: 87, Amount: USD331254
[PROFIT DEFICIT] Day: 88, Amount: USD209469
[PROFIT DEFICIT] Day: 89, Amount: USD84787
[PROFIT DEFICIT] Day: 90, Amount: USD503850
